,advice_mgmt_text,approves_ceo,cons_text,employee position,employee_location,employee_status,employee_years_at_company,number_helpful_votes,overall_rating,positive_outlook,pros_text,ratings_career_oportinity,ratings_comp_benefits,ratings_culture_values,ratings_senior_management,ratings_work_life_balance,review date,review_title
0,not mentioned,1.0,Its not for everyone . You have to be very autonomous and have a lot of self drive to succeed ., Anonymous Employee,"London, England",Current Employee ,M,0,5.0,1.0,Facebook is by far the best place I’ve worked. They hire smart but humble people and do their best to remove roadblocks and enable people to do their best work .,5.0,5.0,5.0,5.0,5.0, 26 Jan 2019,"""A great place to work"""
1,not mentioned,1.0,Personal spaceEveryone is always online, Global Marketing Coordinator,"London, England",Current Employee ,M,0,4.0,1.0,Great benefitsInternational CulturePay is great,3.0,5.0,4.0,3.0,3.0, 5 Jan 2019,"""Global Marketing Coordinator"""
2,not mentioned,1.0,- Too focused on short term impact/employee's performance cycle.- Bad press can affect morale, Anonymous Employee,"London, England",Current Employee ,not mentioned,2,5.0,1.0,"- Amazing pay, perks and benefits, offices- People and culture. Informal, collaborative, very supportive and flexible work environment.- Transparency culture, e.g. weekly Q&As with CEO/COO- Working on extremely impactful products",5.0,5.0,5.0,5.0,5.0, 27 Nov 2018,"""Easily the best company I have ever worked at."""
3,not mentioned,1.0,Growing incredibly quickly so don't know everyone in the office, Technical Sourcer,"London, England",Current Employee ,L,0,5.0,0.0,"Hugely strong culture, very supportive of staff, amazing perks, fast paced work, incredibly good work life balance",4.0,5.0,5.0,5.0,5.0, 26 Nov 2018,"""Great place to work"""
4,not mentioned,1.0,nothing to mention at all, Technical Sourcer,"London, England",Current Employee ,L,0,5.0,,"This is the kind of company that you never want to leave because of these brilliant people.You learn everyday new things, how to move forward, faster.And most important how to be better at our work!!",5.0,5.0,5.0,5.0,5.0, 20 Nov 2018,"""Amazing company - brilliant people"""
5,,0.0,"Looking back at my experience there, I can clearly see that I was unfortunate to end up in a team that I was in. The fact that no one internally wanted to move to that team should have alarmed me, but having just moved to FB I didn’t think of leaving that early. Internally, people were very open about how they would rather quit than join our team. I figured that’s the reason why they hired a complete new team, …  instead of just moving some people around.However, people at FB are generally blinded by the perks and the status of the company. They make themselves believe that they are happy, but in reality everyone is constantly anxious. They just learn to cope and make it feel normal.The pressure is HIGH and the workload tremendous. Because of the amount of silly meetings that you can’t say no to, you will end up spending more than 50 hours per week to make sure you are up to speed. Some people at FB told me that work consumed every second of their life (they just couldn’t switch off). I knew of other colleages that they come in on a Saturday to do some extra work, and some dedicate their Sunday evening on projects to add to their internal CV.You can’t really switch off, at least not before 9PM. So, if you’re in a relationship/have kids, don’t go there. As a single person I felt bad for my colleagues with a family.In my situation, and I also speak for the rest of the team, there was no support, no proper internal onboarding and literally no one around to be able to inform you what the general expectations were. It’s all very performance driven, so you have to Build up that amount of work you do, cause everything gets tracked. They don’t care how you do it, just do it. This explains why people work throughout the weekend to make sure they hit a certain amount of finished tasks for that week before the new week starts. You will be compared to Peers on your level, so it’s important to make sure you hit at least average to receive some bonus after your review.We had a new manager starting a few months after us, and hierarchy was the management style. Having anything to say went against the manager’s principles and clearly we weren’t liked. So were other colleagues of other teams not liked by this manager, because of their opinions. Be mindful of what you say...not everything is appreciated.At FB, managers are more valued than IC’s and they rather keep a bad manager than a good IC. So please be careful and try to make your manager your friend, trust me it will help you.They have amazing trainings on how to manage bias, but in all honesty, everyone was biased. The way they hired people, they way they treated people and the way they rated each other. During the annual performance cycle, you would only ask feedback from the people you had a good relationship with to help you get your bonus.Up until now, FB was the least favorable experience for me. I only say ‘worst experience’ when I talk to friends. They saw the negative impact it had on me working in a toxic environment.I do want to say that 2% genuinely loves working there, unfortunately the majority doesn’t.Show More", Talent Acquisition,"London, England",Former Employee ,L,11,1.0,0.0,"Amazing benefits, pay, environment, tools, stock and 0,1% of the people working there are actually cool. But don’t get it twisted! All the free food, snacks, drinks etc. are made to keep you at work longer :)",2.0,4.0,3.0,1.0,1.0, 4 Dec 2018,"""My honest opinion"""
6,not mentioned,1.0,Salary isn't equal to the US., Software Engineer,"London, England",Current Employee ,M,0,4.0,0.0,The real DisneyLand for software engineers,4.0,4.0,5.0,4.0,3.0, 19 Nov 2018,"""Good place to work"""
7,not mentioned,1.0,None that I can think of. And I am not naieve., Director,"London, England",Current Employee ,M,3,5.0,1.0,Outstanding peopleBrilliant productDecent companyGreat for empowering you to have integrated work/life,5.0,5.0,5.0,5.0,5.0, 20 Sep 2018,"""Kind and brilliant place to work"""
8,,0.0,"High pressure environment. Highly underpaid comparing to Bay Area, Singapore, Dubai. High variable wrt to the quality of middle management, very important to work with high quality managers.", Program Manager,"London, England",Current Employee ,M,3,4.0,1.0,High quality people. One of the best places to have a child.,5.0,4.0,4.0,3.0,3.0, 12 Aug 2018,"""Facebook"""
9,not mentioned,1.0,"- Coorporate, company is too big", Software Engineer,"London, England",Current Employee ,M,0,4.0,1.0,- Smart people- Perks- Challenging problems,4.0,4.0,3.0,3.0,3.0, 31 May 2018,"""Facebook SE"""
